,México,Mundo (ponderado)
Espárrago,9.331270353054972,5.668760052568447
Ajo,12.778245329000812,17.662368488260903
Brócoli y coliflor,18.416028713867984,18.824400472839727
Calabaza,21.08749226644669,15.536706988201187
Chile verde,21.26134364134139,15.998476085187502
Lechuga,24.206113907980562,22.03912352407256
Col,29.008321461752864,30.6186922344129
Papa,31.971521634151053,22.757681822769733
Cebolla,32.320730705044234,19.074961708011163
Tomate,49.028938719501994,36.25103192500939
Pepino,54.05479013504353,39.120061906921386
