Cultivo (ES),Crop (EN),Producción promedio (t),Área promedio (ha),Rendimiento promedio (t/ha),Producción 2023 (t),Año más reciente con datos
Tomate,Tomatoes,3408942.6,101819.0,34.7,4394807.0,2023
Chile verde,"Chillies and peppers, green",2337558.3,138444.0,16.91,3681061.5,2023
Papa,Potatoes,1693771.4,61642.4,27.54,1986198.8,2023
Cebolla,"Onions and shallots, dry",1350353.9,46536.0,28.88,1801137.4,2023
Pepino,Cucumbers and gherkins,731780.6,18151.4,40.72,1036716.8,2023
Calabaza,"Pumpkins, squash and gourds",605404.5,34600.9,17.53,715772.8,2023
Brócoli y coliflor,Cauliflowers and broccoli,485034.7,30476.2,15.52,768353.6,2023
Lechuga,Lettuce and chicory,372033.7,16786.0,21.9,552940.3,2023
Col,Cabbages,220835.6,6787.8,32.65,281003.6,2023
Espárrago,Asparagus,157090.2,21147.2,6.66,347291.2,2023
Ajo,Green garlic,64792.7,6080.6,10.49,110110.1,2023
